gpu_name,application_name,Input Size,num_of_cores,max_clock_rate,l1_cache_used,threads_number,l1_global_load_hit,l1_global_load_miss,Global Load Transactions,Global Store Transactions,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
GTX-680,matMul_gpu_uncoalesced,2048,1536,1058,0,4194304,0,0,2097152,0,0,25,0,4563402752,1.173446
GTX-680,matMul_gpu_sharedmem,256,1536,1058,0,65536,0,0,4096,0,0,100,66907,131072,0.000161535
GTX-680,matMul_gpu_sharedmem,512,1536,1058,0,262144,0,0,16384,0,0,100,525328,1048576,0.001265659
GTX-680,matMul_gpu_sharedmem,768,1536,1058,0,589824,0,0,36864,0,0,100,1770433,3538944,0.004237961
GTX-680,matMul_gpu_sharedmem,1024,1536,1058,0,1048576,0,0,65536,0,0,100,4197807,8388608,0.010012
GTX-680,matMul_gpu_sharedmem,1280,1536,1058,0,1638400,0,0,102400,0,0,100,8196412,16384000,0.01955
GTX-680,matMul_gpu_sharedmem,1536,1536,1058,0,2359296,0,0,147456,0,0,100,14164696,28311552,0.03382
GTX-680,matMul_gpu_sharedmem,1792,1536,1058,0,3211264,0,0,200704,0,0,100,22516964,44957696,0.053567
GTX-680,matMul_gpu_sharedmem,2048,1536,1058,0,4194304,0,0,262144,0,0,100,33633889,67108864,0.079928
Titan,matMul_gpu,256,2688,876,0,65536,0,0,1572864,4096,0,99.78714,0,0,0.00035703
Titan,matMul_gpu,512,2688,876,0,262144,0,0,12582912,16384,0,99.609351,0,0,0.002609833
Titan,matMul_gpu,768,2688,876,0,589824,0,0,42467328,36864,0,96.602447,0,0,0.008632171
Titan,matMul_gpu,1024,2688,876,0,1048576,0,0,100663296,65536,0,94.000187,0,0,0.020329
Titan,matMul_gpu,1280,2688,876,0,1638400,0,0,196608000,102400,0,94.057281,0,0,0.039596
Titan,matMul_gpu,1536,2688,876,0,2359296,0,0,339738624,147456,0,93.704036,0,0,0.068412
Titan,matMul_gpu,1792,2688,876,0,3211264,0,0,539492352,200704,0,93.662225,0,0,0.108553
Titan,matMul_gpu,2048,2688,876,0,4194304,0,0,805306368,262144,0,93.684087,0,0,0.159565
Titan,matMul_gpu,2304,2688,876,0,5308416,0,0,1146617856,331776,0,93.62942,0,0,0.22715
Titan,matMul_gpu,2560,2688,876,0,6553600,0,0,1572864000,409600,0,93.662041,0,0,0.311409
Titan,matMul_gpu,2816,2688,876,0,7929856,0,0,2093481984,495616,0,93.659748,0,0,0.414482
Titan,matMul_gpu,3072,2688,876,0,9437184,0,0,2717908992,589824,0,93.62171,0,0,0.538143
Titan,matMul_gpu,3328,2688,876,0,11075584,0,0,3455582208,692224,0,93.612443,0,0,0.68405
Titan,matMul_gpu,3584,2688,876,0,12845056,0,0,4315938816,802816,0,93.573997,0,0,0.854398
Titan,matMul_gpu,3840,2688,876,0,14745600,0,0,5308416000,921600,0,93.531217,0,0,1.050754
Titan,matMul_gpu,4096,2688,876,0,16777216,0,0,6442450944,1048576,0,93.497879,0,0,1.275565
Titan,matMul_gpu,4352,2688,876,0,18939904,0,0,7727480832,1183744,0,93.452179,0,0,1.529803
Titan,matMul_gpu,4608,2688,876,0,21233664,0,0,9172942848,1327104,0,93.346942,0,0,1.816554
Titan,matMul_gpu,4864,2688,876,0,23658496,0,0,10788274176,1478656,0,93.351354,0,0,2.136205
Titan,matMul_gpu,5120,2688,876,0,26214400,0,0,12582912000,1638400,0,93.289794,0,0,2.491898
Titan,matMul_gpu,5376,2688,876,0,28901376,0,0,14566293504,1806336,0,93.23336,0,0,2.88452
Titan,matMul_gpu,5632,2688,876,0,31719424,0,0,16747855872,1982464,0,93.164458,0,0,3.317207
Titan,matMul_gpu,5888,2688,876,0,34668544,0,0,19137036288,2166784,0,93.141338,0,0,3.790636
Titan,matMul_gpu,6144,2688,876,0,37748736,0,0,21743271936,2359296,0,93.04782,0,0,4.306881
Titan,matMul_gpu,6400,2688,876,0,40960000,0,0,24576000000,2560000,0,93.139867,0,0,4.869313
Titan,matMul_gpu,6656,2688,876,0,44302336,0,0,27644657664,2768896,0,92.901699,0,0,5.47858
Titan,matMul_gpu,6912,2688,876,0,47775744,0,0,30958682112,2985984,0,93.032534,0,0,6.136018
Titan,matMul_gpu,7168,2688,876,0,51380224,0,0,34527510528,3211264,0,92.784076,0,0,6.844573
Titan,matMul_gpu,7424,2688,876,0,55115776,0,0,38360580096,3444736,0,92.740852,0,0,7.606272
Titan,matMul_gpu,7680,2688,876,0,58982400,0,0,42467328000,3686400,0,92.698689,0,0,8.420116
Titan,matMul_gpu,7936,2688,876,0,62980096,0,0,46857191424,3936256,0,92.077018,0,0,9.293481
Titan,matMul_gpu,8192,2688,876,0,67108864,0,0,51539607552,4194304,0,92.642712,0,0,10.297167
