5376,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",4869881856,4869881856,4869881856,4869881856,407144012,307920560,2077771,1559859,1817995,1298680,357471279,255660116,4855431168,4855431168,14450688,14450688,4496765140,4496773976,13999104,13999104,4856498648,4856481159,14450693,14450689,0,0,5,0,54159608213,0,0,9710862336,0,0,0,0,28901376,0,0,0,0,0,0,0,0,0,0,903168,207206142232,4573643584,4859044672,14291730432,457335373824,457277571072,0,0,6069288960,303464448,0,0,0,0,0,303464448,903168,0,153538560,54140210996,3463721272704,108349487975,28224,33988018176,9407397888,43698880512,9710862336
5632,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",5598478336,5598478336,5598478336,5598478336,476854388,360152260,2280691,1710995,1995686,1995508,418490648,418470200,5582618624,5582618624,15859712,15859712,5165177464,5165213408,15364096,10974000,5583838512,5583818447,15859712,15859718,0,0,0,5,"<OVERFLOW>",0,0,11165237248,0,0,0,0,31719424,0,0,0,0,0,0,0,0,0,0,991232,238030637606,5257495360,5586584384,16430661632,525781172224,525717733376,0,0,6978273280,348913664,0,0,0,0,0,348913664,991232,0,176439296,62286223504,3985026268752,124534475254,30976,39078330368,10816323584,50243567616,11165237248
5888,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",6396346368,6396346368,6396346368,6396346368,546506452,412260196,2489822,1868495,2178579,1556145,479602237,342884052,6379012096,6379012096,17334272,17334272,5897716360,5897662952,16792576,16792576,6380407720,6380384815,17334273,17334277,0,0,1,4,"<OVERFLOW>",0,0,12758024192,0,0,0,0,34668544,0,0,0,0,0,0,0,0,0,0,1083392,272179992915,6006326080,6383346496,18773016576,600736530432,600667193344,0,0,7973765120,398688256,0,0,0,0,0,398688256,1083392,0,201510912,71216164563,4556209496814,142178140274,33856,44653084672,12359335936,57411108864,12758024192
6144,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",7266631680,7266631680,7266631680,7266631680,629353384,474343788,2712087,2033899,2373042,2373052,551936192,551906408,7247757312,7247757312,18874368,13481728,6694873840,6694891308,18284544,18284544,7249340360,7249314375,18874373,18874369,0,0,1,4,"<OVERFLOW>",0,0,14495514624,0,0,0,0,37748736,0,0,0,0,0,0,0,0,0,0,1179648,309504399322,6823084864,7252476736,21328035840,682497146880,682421649408,0,0,9059696640,452984832,0,0,0,0,0,452984832,1179648,0,228851712,80840872000,5172217404616,161564675066,36864,50734301184,14042529792,65229815808,14495514624
6400,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",8212480000,8212480000,8212480000,8212480000,712809996,545642312,2940085,2205625,2573001,2572229,625460360,625436908,8192000000,8192000000,20480000,20480000,7571029268,7571057608,19840000,19840000,8193788456,8193759079,20480001,20480005,0,0,1,4,"<OVERFLOW>",0,0,16384000000,0,0,0,0,40960000,0,0,0,0,0,0,0,0,0,0,1280000,349315380643,7710720832,8197120832,24104960000,771358720000,771276800000,0,0,10240000000,512000000,0,0,0,0,0,512000000,1280000,0,258560000,91321646088,5842907535718,182884701059,40000,57344000000,15872000000,73728000000,16384000000
6656,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",9237037056,9237037056,9237037056,9237037056,813681644,616367172,3179519,2385025,2782037,2782077,714180876,714105044,9214885888,9214885888,22151168,22151168,8498880416,8498861480,21458944,21458944,9216930864,6584100375,22151168,22151174,0,0,0,5,"<OVERFLOW>",0,0,18429771776,0,0,0,0,44302336,0,0,0,0,0,0,0,0,0,0,1384448,393243443192,8672183104,9220424512,27113029632,867616948224,867528343552,0,0,11518607360,575930368,0,0,0,0,0,575930368,1384448,0,290734080,102741399165,6573569353662,205598219631,43264,64504201216,17853841408,82933972992,18429771776
6912,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",10343448576,10343448576,10343448576,10343448576,918713500,701943785,3428577,2569491,2999930,3000048,806147048,806143264,10319560704,7371177984,23887872,23887872,9507141604,9507172620,23141376,23141376,10321812400,10321775407,23887872,23887878,0,0,0,5,"<OVERFLOW>",0,0,20639121408,0,0,0,0,47775744,0,0,0,0,0,0,0,0,0,0,1492992,441056995113,9710420800,10325533504,30361485312,971567529984,971471978496,0,0,12899450880,644972544,0,0,0,0,0,644972544,1492992,0,325472256,115052398296,7361386283516,230263106370,46656,72236924928,19994148864,92876046336,20639121408
7168,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",11534860288,11534860288,11534860288,11534860288,1030091184,774788656,3685301,2764425,3224793,3224697,903644152,903648940,11509170176,11509170176,25690112,25690112,10594113308,10594050636,24887296,17776640,11511693648,11511652071,25690117,25690113,0,0,1,4,"<OVERFLOW>",0,0,23018340352,0,0,0,0,51380224,0,0,0,0,0,0,0,0,0,0,1605632,491135398464,10828383040,11515593536,33859567616,1083506163712,1083403403264,0,0,14386462720,719323136,0,0,0,0,0,719323136,1605632,0,362872832,128278583978,8207813799756,256581840529,50176,80564191232,22299017216,103582531584,23018340352
7424,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",12814417920,12814417920,12814417920,12814417920,1150910932,878341716,3952223,2964241,3458262,3458348,1010028258,1009945468,12786860032,12786860032,27557888,27557888,11774008036,11774006684,26696704,26696704,12789656524,12789610543,27557893,27557889,0,0,1,4,"<OVERFLOW>",0,0,25573720064,0,0,0,0,55115776,0,0,0,0,0,0,0,0,0,0,1722368,546523909763,12029018944,12793750336,37616517120,1203728547840,1203618316288,0,0,15983575040,799178752,0,0,0,0,0,799178752,1722368,0,403034112,142623055931,9125652895652,285469264129,53824,89508020224,24774541312,115081740288,25573720064
7680,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",14185267200,14185267200,14185267200,14185267200,1297194008,982533912,4227931,3171459,3699838,3699536,1138298830,1138214840,14155776000,14155776000,29491200,29491200,13029055224,13029007544,28569600,28569600,14158899802,10114374339,29491201,29491205,0,0,5,0,"<OVERFLOW>",0,0,28311552000,0,0,0,0,58982400,0,0,0,0,0,0,0,0,0,0,1843200,605003821921,13315277632,14163149632,41641574400,1332530380800,1332412416000,0,0,17694720000,884736000,0,0,0,0,0,884736000,1843200,0,446054400,158112501683,10116890783064,316067094917,57600,99090432000,27426816000,127401984000,28311552000
7936,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",15650553856,15650553856,15650553856,15650553856,1459193988,1074890264,4513811,3385901,3949825,3949545,1280112080,1280049432,15619063808,15619063808,31490048,31490048,14355346772,14355373056,30505984,30505984,15622511226,11159880767,31490049,31490053,0,0,1,4,"<OVERFLOW>",0,0,31238127616,0,0,0,0,62980096,0,0,0,0,0,0,0,0,0,0,1968128,668229911670,14690108224,15626937152,45943980032,1470207361024,1470081400832,0,0,19523829760,976191488,0,0,0,0,0,976191488,1968128,0,492032000,174732376172,11180335713112,349136459355,61504,109333446656,30261936128,140571574272,31238127616
8192,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",17213423616,17213423616,17213423616,17213423616,1609329092,1219825648,4808548,3606738,4207641,4207713,1411932296,1411876716,17179869184,17179869184,33554432,33554432,15771955552,11265374232,32505856,32505856,17183667976,17183605607,33554437,33554433,0,0,5,0,"<OVERFLOW>",0,0,34359738368,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,742396357909,16156459840,17188258624,50532974592,1617055186944,1616920969216,0,0,21474836480,1073741824,0,0,0,0,0,1073741824,2097152,0,541065216,193728105435,12395875406878,387437128164,65536,120259084288,33285996544,154618822656,34359738368
