5376,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",2431328256,2431328256,1217470464,1217470464,644761524,644227404,1824528,1824419,912269,912259,912248,912202,322379920,322381604,322371825,322368292,606928896,606928896,606928896,606928896,903168,903168,903168,903168,291841672,291829132,291826972,291835000,362082,362290,361940,361544,614454958,614454618,614454760,614454784,903170,903168,903183,903211,0,0,0,0,1,0,4,0,9065098644,0,0,19421724672,0,0,0,0,28901376,0,0,0,0,0,0,0,0,0,0,903168,23524986456,7911751936,4859044096,17629839360,564154859520,564097056768,0,0,6069288960,606928896,0,0,0,0,0,606928896,903168,0,305270784,9064788824,579971364654,72559860267,112896,0,0,7283146752,606928896
5632,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",2795274240,2795274240,1399619584,1399619584,744640288,746077292,2002961,2003828,1001476,1001485,1001442,1001471,372319644,372320644,372333069,372331684,697827328,697827328,697827328,697827328,991232,991232,991232,991232,333904864,333902492,333893568,333905004,355514,354662,354818,354682,706521332,706521000,706521232,706521240,991234,991232,991236,991232,0,0,0,0,1,0,0,4,10418999412,0,0,22330474496,0,0,0,0,31719424,0,0,0,0,0,0,0,0,0,0,991232,27058513208,9095545088,5586583808,20268711936,648598781952,648535343104,0,0,6978273280,697827328,0,0,0,0,0,697827328,991232,0,350896128,10418773079,666616214050,83054939177,123904,0,0,8373927936,697827328
5888,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",3193839616,3193839616,1599086592,1599086592,859117035,859810960,2186924,2186985,1093480,1093444,1093481,1093478,429554134,429562901,429565448,429565332,797376512,797376512,797376512,797376512,1083392,1083392,1083392,1083392,377090840,377086956,377080320,377077704,384330,383278,384230,383686,807303102,807302712,807302912,807302896,1083392,1083393,1083397,1083392,0,0,0,0,0,0,5,0,11915312304,0,0,25516048384,0,0,0,0,34668544,0,0,0,0,0,0,0,0,0,0,1083392,30927839296,10391896320,6383345920,23158587392,741074796544,741005459456,0,0,7973765120,797376512,0,0,0,0,0,797376512,1083392,0,400855040,11914824829,762353097660,95208981284,135424,0,0,9568518144,797376512
6144,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",3628597248,3628597248,1816657920,1816657920,983560438,981878244,2382667,2379351,1191336,1191331,1191241,1191225,491788297,491772141,491769801,491768312,905969664,905969664,905969664,905969664,1179648,1179648,1179648,1179648,425641172,425655340,425649040,425660408,393660,394620,393124,393114,917258748,917258296,917258584,917258648,1179652,1179648,1179650,1179648,0,0,0,0,4,0,1,0,13517314768,0,0,28991029248,0,0,0,0,37748736,0,0,0,0,0,0,0,0,0,0,1179648,35108844728,11805917440,7252476160,26310868992,841947807744,841872310272,0,0,9059696640,905969664,0,0,0,0,0,905969664,1179648,0,455344128,13516731934,864814993484,108315103498,147456,0,0,10871635968,905969664
6400,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",4101120000,4101120000,2053120000,2053120000,1119534460,1118290224,2564487,2580253,1282212,1282275,1282277,1282273,559765147,559769313,559763101,559755433,1024000000,1024000000,1024000000,1024000000,1280000,1280000,1280000,1280000,477541856,477540796,477543056,477557496,442096,442330,442280,442434,1036716622,1036716106,1036716408,1036716424,1280001,1280000,1280005,1280000,0,0,0,0,0,0,1,4,15315870208,0,0,32768000000,0,0,0,0,40960000,0,0,0,0,0,0,0,0,0,0,1280000,39567231656,13342720512,8197120512,29736960000,951582720000,951500800000,0,0,10240000000,1024000000,0,0,0,0,0,1024000000,1280000,0,514560000,15315336073,979900005648,122760958090,160000,0,0,12288000000,1024000000
6656,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",4612980736,4612980736,2309259264,2309259264,1272754588,1272033669,2792102,2792363,1396058,1396044,1396171,1396162,636358875,636395713,636378144,636389701,1151860736,1151860736,1151860736,1151860736,1384448,1384448,1384448,1384448,529976896,529949996,529976396,529955388,440676,441052,441942,441478,1166199280,1166198698,1166199008,1166199048,1384450,1384449,1384467,1384486,0,0,0,0,0,1,0,4,"<OVERFLOW>",0,0,36859543552,0,0,0,0,44302336,0,0,0,0,0,0,0,0,0,0,1384448,44584243996,15007416576,9220423936,33448263680,1070344437760,1070255833088,0,0,11518607360,1151860736,0,0,0,0,0,1151860736,1384448,0,578699264,17181370281,1099316701746,137550254447,173056,0,0,13822328832,1151860736
6912,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",5165752320,5165752320,2585862144,2585862144,1436159551,1435445321,3012667,3004183,1506346,1506321,1506284,1506273,718086605,718072946,718084314,718069196,1289945088,1289945088,1289945088,1289945088,1492992,1492992,1492992,1492992,587792756,587792356,587788552,587782784,446512,446268,446278,446886,1306035318,1306034618,1306034984,1306035000,1492997,1492992,1492992,1492993,0,0,0,0,0,4,0,1,"<OVERFLOW>",0,0,41278242816,0,0,0,0,47775744,0,0,0,0,0,0,0,0,0,0,1492992,50063331148,16805118208,10325532928,37456183296,1198597865472,1198502313984,0,0,12899450880,1289945088,0,0,0,0,0,1289945088,1492992,0,647958528,19287832826,1234057118894,154067378632,186624,0,0,15479341056,1289945088
7168,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",5761007616,5761007616,2883715072,2883715072,1613908885,1615313521,3234637,3234588,1617317,1617320,1617279,1617283,806959045,806949844,806973674,806971392,1438646272,1438646272,1438646272,1438646272,1605632,1605632,1605632,1605632,648840288,648832132,648798468,648815904,478308,478634,479014,478012,1456553314,1456552626,1456553080,1456553088,1605634,1605636,1605637,1605651,0,0,0,0,4,0,1,0,"<OVERFLOW>",0,0,46036680704,0,0,0,0,51380224,0,0,0,0,0,0,0,0,0,0,1605632,55881726980,18740936960,11515592960,41772122112,1336707907584,1336605147136,0,0,14386462720,1438646272,0,0,0,0,0,1438646272,1605632,0,722534400,21494255191,1375289048556,172039607357,200704,0,0,17263755264,1438646272
7424,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",6400319488,6400319488,3203604480,3203604480,1810792973,1813745345,3466099,3465005,1733032,1733067,1733069,1733041,905410019,905382954,905394120,905408668,1598357504,1598357504,1598357504,1598357504,1722368,1722368,1722368,1722368,713417012,713405972,713426800,713426824,490114,491048,489980,490256,1618275742,1618274896,1618275240,1618275256,1722369,1722368,1722376,1722389,0,0,0,0,0,0,4,1,"<OVERFLOW>",0,0,51147440128,0,0,0,0,55115776,0,0,0,0,0,0,0,0,0,0,1722368,61850517160,20819984896,12793750016,46407483392,1485039468544,1484929236992,0,0,15983575040,1598357504,0,0,0,0,0,1598357504,1722368,0,802623488,23903671197,1529486277760,190911965227,215296,0,0,19180290048,1598357504
7680,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",7085260800,7085260800,3546316800,3546316800,2024756098,2026051645,3707785,3707780,1853895,1853890,1853863,1853907,1012376602,1012379469,1012380400,1012358037,1769472000,1769472000,1769472000,1769472000,1843200,1843200,1843200,1843200,779375436,779384320,779370204,779374544,504096,504798,503062,504286,1791531344,1791530392,1791530800,1791530736,1843201,1843206,1843204,1843219,0,0,0,0,4,1,0,0,"<OVERFLOW>",0,0,56623104000,0,0,0,0,58982400,0,0,0,0,0,0,0,0,0,0,1843200,68842870648,23047373056,14163149056,51373670400,1643957452800,1643839488000,0,0,17694720000,1769472000,0,0,0,0,0,1769472000,1843200,0,888422400,26463277769,1693265278088,211452992173,230400,0,0,21233664000,1769472000
7936,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",7817404416,7817404416,3912638464,3912638464,2255914427,2253248400,3957560,3957589,1978772,1978788,1978765,1978769,1127949569,1127964858,1127986352,1127947680,1952382976,1952382976,1952382976,1952382976,1968128,1968128,1968128,1968128,846853792,846841132,846831876,846840580,516854,517500,517212,517216,1979829016,1979827695,1979828164,1979828181,1968129,1968129,1968136,1968148,0,0,0,0,0,1,4,0,"<OVERFLOW>",0,0,62476255232,0,0,0,0,62980096,0,0,0,0,0,0,0,0,0,0,1968128,75591589144,25428214016,15626936576,56682086400,1813826764800,1813700804608,0,0,19523829760,1952382976,0,0,0,0,0,1952382976,1968128,0,980127744,29180570265,1867160914046,233934515014,246016,0,0,23428595712,1952382976
8192,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",8598323200,8598323200,4303355904,4303355904,2498329717,2497568733,4217654,4215614,2108822,2108832,2108818,2108808,1249163076,1249166641,1249163220,1249166192,2147483648,2147483648,2147483648,2147483648,2097152,2097152,2097152,2097152,927092220,927097688,927099308,927101576,520416,520346,520370,520378,2177653132,2177651660,2177652314,2177652484,2097154,2097153,2097160,2097171,0,0,0,0,1,0,0,4,"<OVERFLOW>",0,0,68719476736,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,83052246632,27967619584,17188258304,62344134656,1995012308992,1994878091264,0,0,21474836480,2147483648,0,0,0,0,0,2147483648,2097152,0,1077936128,32128675409,2055812030086,257328429303,262144,0,0,25769803776,2147483648
