gpu_id,l1_cache_used,max_clock_rate,num_of_cores,threads_launched,Instructions.Executed,Instructions.Issued,Executed.IPC,Achieved.Occupancy,Global.Hit.Rate,Shared.Load.Transactions,Shared.Store.Transactions,Global.Load.Transactions,Global.Store.Transactions,Duration
7,0,1110,512,12845056,13246464,13247620,0.317348,0.835472,50,0,0,25690112,12845056,0.009927405
7,0,1110,512,37748736,38928384,38929552,0.444972,0.834625,50,0,0,37748736,18874368,0.018873
7,0,1110,512,11075584,11421696,11422844,0.320704,0.836,50,0,0,22151168,11075584,0.008469416
7,0,1110,512,9437184,9732096,9733242,0.321424,0.836517,50,0,0,18874368,9437184,0.007220172
7,0,1110,512,7929856,8177664,8178834,0.320278,0.835594,50,0,0,15859712,7929856,0.006063525
7,0,1110,512,6553600,6758400,6759565,0.316923,0.835022,50,0,0,13107200,6553600,0.005075951
7,0,1110,512,4194304,4325376,4326537,0.328503,0.835676,50,0,0,8388608,4194304,0.003159417
7,0,1110,512,3211264,3311616,3312775,0.318347,0.832451,50,0,0,6422528,3211264,0.002496383
7,0,1110,512,2359296,2433024,2434194,0.32232,0.831593,50,0,0,4718592,2359296,0.001807431
7,0,1110,512,1638400,1689600,1690761,0.322307,0.83298,50,0,0,3276800,1638400,0.001261407
7,0,1110,512,1048576,1081344,1082512,0.327697,0.833702,50,0,0,2097152,1048576,0.000792815
7,0,1110,512,5308416,5474304,5475481,0.317154,0.835282,50,0,0,10616832,5308416,0.004110005
7,0,1110,512,262144,270336,271489,0.32979,0.829208,50,0,0,524288,262144,0.000198284
7,0,1110,512,65536,67584,68746,0.366051,0.798878,50,0,0,131072,65536,0.000046715
7,0,1110,512,67108864,69206016,69207168,0.407924,0.798265,50,0,0,67108864,33554432,0.038111
7,0,1110,512,62980096,64948224,64949387,0.396478,0.788557,50,0,0,62980096,31490048,0.036802
7,0,1110,512,58982400,60825600,60826696,0.398244,0.891553,50,0,0,58982400,29491200,0.033779
7,0,1110,512,55115776,56838144,56839303,0.404454,0.842711,50,0,0,55115776,27557888,0.030948
7,0,1110,512,51380224,52985856,52986935,0.404896,0.836975,50,0,0,51380224,25690112,0.02846
7,0,1110,512,589824,608256,609421,0.331043,0.830361,50,0,0,1179648,589824,0.00044178
7,0,1110,512,44302336,45686784,45687950,0.423536,0.7761,50,0,0,44302336,22151168,0.023781
7,0,1110,512,47775744,49268736,49269915,0.41506,0.838229,50,0,0,47775744,23887872,0.02587
8,0,1076,3072,23658496,24397824,24402885,0.865098,0.860075,50,0,0,11829248,2957312,0.001059978
8,0,1076,3072,26214400,27033600,27039179,1.00493,0.849814,50,0,0,13107200,3276800,0.001176203
8,0,1076,3072,28901376,29804544,29809646,0.863996,0.854504,50,0,0,14450688,3612672,0.00129774
8,0,1076,3072,31719424,32710656,32715767,0.865589,0.854757,50,0,0,15859712,3964928,0.001423757
8,0,1076,3072,34668544,35751936,35757013,0.866768,0.850111,50,0,0,17334272,4333568,0.00155483
8,0,1076,3072,47775744,49268736,49273768,0.863335,0.855973,50,0,0,23887872,5971968,0.002145043
8,0,1076,3072,40960000,42240000,42245059,0.996977,0.853673,50,0,0,20480000,5120000,0.001839665
8,0,1076,3072,44302336,45686784,45692325,0.862579,0.85272,50,0,0,22151168,5537792,0.00199061
8,0,1076,3072,51380224,52985856,52991404,0.859737,0.854013,50,0,0,25690112,6422528,0.002313813
8,0,1076,3072,58982400,60825600,60830656,0.858496,0.849333,50,0,0,29491200,7372800,0.002663896
8,0,1076,3072,21233664,21897216,21902300,1.00157,0.851301,50,0,0,10616832,2654208,0.000951721
8,0,1076,3072,55115776,56838144,56843698,0.857828,0.854626,50,0,0,27557888,6889472,0.002486807
8,0,1076,3072,37748736,38928384,38933463,0.869138,0.859915,50,0,0,18874368,4718592,0.001675375
8,0,1076,3072,18939904,19531776,19537404,0.859339,0.848957,50,0,0,9469952,2367488,0.000860744
8,0,1076,3072,3211264,3311616,3316696,0.868117,0.86116,50,0,0,1605632,401408,0.00014541
8,0,1076,3072,14745600,15206400,15211489,0.86085,0.859866,50,0,0,7372800,1843200,0.000663846
8,0,1076,3072,12845056,13246464,13251579,0.864627,0.858884,50,0,0,6422528,1605632,0.000576966
8,0,1076,3072,11075584,11421696,11426801,1.008601,0.849211,50,0,0,5537792,1384448,0.000498565
8,0,1076,3072,9437184,9732096,9737690,0.876156,0.855976,50,0,0,4718592,1179648,0.000418981
8,0,1076,3072,7929856,8177664,8182723,0.873635,0.859796,50,0,0,3964928,991232,0.000356067
