"","gpu_name","gpu_id","AppName","AppId","Input.Size","Duration","max_clock_rate","num_of_cores","Achieved.Occupancy","Executed.Load.Store.Instructions","Shared.Load.Transactions","Shared.Store.Transactions","Global.Load.Transactions","Global.Store.Transactions","Global.Load.Transactions.Per.Request","Global.Store.Transactions.Per.Request","Unified.Cache.Throughput","Floating.Point.Operations.Single.Precision.","Instructions.Issued","warps_launched","Block.X"
"130","GTX-750",7,"matrix_sum_normal",5,512,0.000198284,1110,512,0.829208,57344,0,0,524288,262144,32,32,10.544494,262144,271489,8192,16
"131","GTX-750",7,"matrix_sum_normal",5,768,0.00044178,1110,512,0.830361,129024,0,0,1179648,589824,32,32,10.734864,589824,609421,18432,16
"132","GTX-750",7,"matrix_sum_normal",5,1024,0.000792815,1110,512,0.833702,229376,0,0,2097152,1048576,32,32,10.671473,1048576,1082512,32768,16
"133","GTX-750",7,"matrix_sum_normal",5,1280,0.001261407,1110,512,0.83298,358400,0,0,3276800,1638400,32,32,10.514058,1638400,1690761,51200,16
"134","GTX-750",7,"matrix_sum_normal",5,1536,0.001807431,1110,512,0.831593,516096,0,0,4718592,2359296,32,32,10.522276,2359296,2434194,73728,16
"135","GTX-750",7,"matrix_sum_normal",5,1792,0.002496383,1110,512,0.832451,702464,0,0,6422528,3211264,32,32,10.40932,3211264,3312775,100352,16
"136","GTX-750",7,"matrix_sum_normal",5,2048,0.003159417,1110,512,0.835676,917504,0,0,8388608,4194304,32,32,11.072235,4194304,4326537,131072,16
"137","GTX-750",7,"matrix_sum_normal",5,2304,0.004110005,1110,512,0.835282,1161216,0,0,10616832,5308416,32,32,10.702753,5308416,5475481,165888,16
"138","GTX-750",7,"matrix_sum_normal",5,2560,0.005075951,1110,512,0.835022,1433600,0,0,13107200,6553600,32,32,10.706854,6553600,6759565,204800,16
"139","GTX-750",7,"matrix_sum_normal",5,2816,0.006063525,1110,512,0.835594,1734656,0,0,15859712,7929856,32,32,10.815525,7929856,8178834,247808,16
"140","GTX-750",7,"matrix_sum_normal",5,3072,0.007220172,1110,512,0.836517,2064384,0,0,18874368,9437184,32,32,10.859513,9437184,9733242,294912,16
"141","GTX-750",7,"matrix_sum_normal",5,3328,0.008469416,1110,512,0.836,2422784,0,0,22151168,11075584,32,32,10.826088,11075584,11422844,346112,16
"142","GTX-750",7,"matrix_sum_normal",5,3584,0.009927405,1110,512,0.835472,2809856,0,0,25690112,12845056,32,32,10.701875,12845056,13247620,401408,16
"143","GTX-750",7,"matrix_sum_normal",5,3840,0.011308,1110,512,0.835059,3225600,0,0,29491200,14745600,32,32,10.839829,14745600,15207553,460800,16
"144","GTX-750",7,"matrix_sum_normal",5,4096,0.012636,1110,512,0.836194,3670016,0,0,33554432,16777216,32,32,11.026453,16777216,17302679,524288,16
"145","GTX-750",7,"matrix_sum_normal",5,4352,0.014619,1110,512,0.835626,4143104,0,0,37879808,18939904,32,32,10.775549,18939904,19532933,591872,16
"146","GTX-750",7,"matrix_sum_normal",5,4608,0.016479,1110,512,0.836672,4644864,0,0,42467328,21233664,32,32,10.681164,21233664,21898387,663552,16
"147","GTX-750",7,"matrix_sum_normal",5,4864,0.018222,1110,512,0.835555,5175296,0,0,47316992,23658496,32,32,10.768182,23658496,24398987,739328,16
"148","GTX-750",7,"matrix_sum_normal",5,5120,0.020218,1110,512,0.835671,5734400,0,0,52428800,26214400,32,32,10.737055,26214400,27034754,819200,16
