32768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
32768,6.320209,2.976000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [922]"
32768,6.320219,3.040000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [928]"
32768,6.320229,3.008000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [934]"
32768,6.320243,2.944000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [940]"
32768,6.320253,3.008000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [946]"
32768,6.320264,3.392000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [952]"
32768,6.320274,3.520000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [958]"
32768,6.320286,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [964]"
32768,6.320296,3.424000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [970]"
32768,6.320306,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [976]"
32768,6.320316,3.553000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [982]"
32768,6.320326,3.520000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [988]"
32768,6.320336,2.784000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [994]"
32768,6.320346,2.656000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1000]"
32768,6.320356,2.816000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1006]"
32768,6.320366,2.880000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1012]"
32768,6.320376,2.976000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1018]"
32768,6.320386,2.912000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1024]"
32768,6.320398,2.944000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1030]"
32768,6.320408,2.976000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1036]"
32768,6.320418,3.392000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1042]"
32768,6.320428,3.360000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1048]"
32768,6.320438,3.360000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1054]"
32768,6.320448,3.424000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1060]"
32768,6.320458,3.520000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1066]"
32768,6.320469,3.456000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1072]"
32768,6.320479,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [1078]"
32768,6.320501,4.169600e-05,,,,,,,,,,256.000000,5.855253,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
65536,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
65536,s,s,,,,,,,,B,B,KB,GB/s,,,,
65536,6.240867,8.630600e-05,,,,,,,,,,512.000000,5.657559,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
65536,6.241016,7.616000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [364]"
65536,6.241029,6.848000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [370]"
65536,6.241040,6.849000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [376]"
65536,6.241050,6.400000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [382]"
65536,6.241062,6.368000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [388]"
65536,6.241072,6.336000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [394]"
65536,6.241082,6.305000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [400]"
65536,6.241092,6.336000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [406]"
65536,6.241103,6.336000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [412]"
65536,6.241120,6.368000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [418]"
65536,6.241131,4.992000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [424]"
65536,6.241141,4.992000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [430]"
65536,6.241152,5.120000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [436]"
65536,6.241163,5.120000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [442]"
65536,6.241173,5.153000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [448]"
65536,6.241183,4.960000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [454]"
65536,6.241193,4.992000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [460]"
65536,6.241204,5.024000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [466]"
65536,6.241217,5.121000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [472]"
65536,6.241227,5.088000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [478]"
65536,6.241241,5.120000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [484]"
65536,6.241251,4.864000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [490]"
65536,6.241263,4.865000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [496]"
65536,6.241273,4.928000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [502]"
65536,6.241285,4.928000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [508]"
65536,6.241295,5.120000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [514]"
65536,6.241306,5.089000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [520]"
65536,6.241316,5.152000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [526]"
65536,6.241326,4.224000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [532]"
65536,6.241336,4.832000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [538]"
65536,6.241346,4.832000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [544]"
65536,6.241359,4.896000e-06,512,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [550]"
